Id,ParentId,CBS,UdM,Cantidad,Descripción,Precio unitario,BoQ Line Type
47,46,A-40-20-00-0000-000,,0,PLACAS DE CONTRA PISO ESTRUCTURALES - ALIGERADA,0,Level 4
48,47,A-40-20-10-0000-000,,0,PLACAS DE CONTRA PISO ESTRUCTURALES - ALIGERADA,0,Level 5
49,48,A-40-20-10-0330-008,,0,PLACA ALIGERADA DE CIMENTACIÓN,0,Level 6
50,49,P131511-0314,M3,1615.42,Concreto 7000 Psi Grava Fina Fluido 1,654944.2252,Position
51,49,P133121-0002,KG,63821.78,Acero De Refuerzo A-60,3982.670102,Position
52,49,P133121-0027,KG,19146.53,Malla Electrosoldada Estandar,4762.801114,Position
53,49,S017300-0229,KG,79017.44,M.O. Manejo De Acero De Refuerzo,111.2800055,Position
54,49,Z413100-0012,M2,1879.01,Sub. Placa Aligerada Cimentacion H= 1.0,299637,Position
55,48,A-40-20-10-0330-010,,0,LOSA DE CONTRAPISO,0,Level 6
56,55,P131511-0020,M3,15.71,Concreto 3000 Psi Grava Comun Bombeable,398859.9688,Position
57,55,P132319-0136,UN,35.95,Sikafloor 3 Quartz Top Neutro X 30Kg,39239.80668,Position
58,55,P133121-0027,KG,2054.77,Malla Electrosoldada Estandar,4762.791816,Position
59,55,S017300-0117,ML,100.23,M.O. Dilatacion Sobre Concreto,10745.77611,Position
60,55,S017300-0229,KG,2034.42,M.O. Manejo De Acero De Refuerzo,111.2801241,Position
61,55,S017300-0287,M2,149.59,M.O. Placa Contrapiso H=0.10,44382.13002,Position
62,55,Z413100-0004,M3,15.71,Sub. Bomba Estacionaria,45893.94844,Position
63,46,A-40-40-00-0000-000,,0,POZOS Y FOSOS,0,Level 4
64,63,A-40-40-10-0000-000,,0,POZOS Y FOSOS,0,Level 5
65,64,A-40-40-10-0330-006,,0,FOSO ASCENSOR,0,Level 6
66,65,P131511-0314,M3,9.3,Concreto 7000 Psi Grava Fina Fluido 1,655153.472,Position
67,65,P133121-0002,KG,429.91,Acero De Refuerzo A-60,3982.651346,Position
68,65,S017300-0167,M3,8.86,M.O. Foso Ascensor,582247.8995,Position
69,65,S017300-0229,KG,409.44,M.O. Manejo De Acero De Refuerzo,111.2789664,Position
70,65,S017313-0017,M2,32.09,M.O. Impermeabilizacion Foso De Ascensor,70398.22904,Position
71,64,A-40-40-10-0710-004,,0,IMPERMEABILIZACION FOSO ASCENSOR,0,Level 6
72,71,Z414000-0011,M2,113.43,Sub. Impermeabilizacion Foso Ascensor,80260.62999,Position
73,46,A-40-90-00-0000-000,,0,COMPONENTES SUPLEMENTARIOS DE SOBRE PLACA,0,Level 4
74,73,A-40-90-40-0000-000,,0,CONCRETO DE LIMPIEZA PARA PLACAS DE CONTRA PISO (SOLADO),0,Level 5
75,74,A-40-90-40-0330-001,,0,CONCRETO DE LIMPIEZA,0,Level 6
76,75,P131511-0002,M3,65.3,Concreto 1500 Psi Grava Comun,322996.7216,Position
77,75,S017300-0089,M2,2072.86,M.O. Concreto De Limpieza,5313.810002,Position
78,32,B-00-00-00-0000-000,,0,B-ESTRUCTURA Y FACHADAS,0,Level 2
79,78,B-10-00-00-0000-000,,0,SUPERESTRUCTURA,0,Level 3
80,79,B-10-10-00-0000-000,,0,CONSTRUCCION ESTRUCTURA DE ENTREPISOS,0,Level 4
81,80,B-10-10-10-0000-000,,0,"SISTEMA ESTRUCTURAL - MUROS, COLUMNAS Y PANTALLAS",0,Level 5
82,81,B-10-10-10-0330-022,,0,COLUMNETAS,0,Level 6
83,82,P131511-0020,M3,44.42,Concreto 3000 Psi Grava Comun Bombeable,398980.2145,Position
84,82,P133121-0002,KG,4527.06,Acero De Refuerzo A-60,3982.671102,Position
85,82,S017300-0026,UN,141.03,M.O. Anclajes Epoxicos De 1/2 Pulg,4869.124513,Position
86,82,S017300-0086,ML,1410.31,M.O. Columneta De Confinamiento,15288,Position
87,81,B-10-10-10-0330-023,,0,MUROS EN CONCRETO,0,Level 6
88,87,P131511-0054,M3,2197.39,Concreto 3000 Psi Industrializado Grava Fina Muro Lp,437894.4325,Position
89,87,P131511-0121,M3,2343.47,Concreto 4000 Psi Industrializado Grava Fina Muro Lp,478960.3437,Position
90,87,P131511-0158,M3,2429.2,Concreto 5000 Psi Industrializado Grava Fina Muro Lp,517437.2387,Position
91,87,P131511-0175,M3,1987.92,Concreto 7000 Psi Grava Fina Fluido,654943.1877,Position
92,87,P131511-0255,M3,836.9,Concreto 6000 Psi Industrializado Grava Fina Muro Lp,543500.9594,Position
93,87,P133121-0002,KG,509549.74,Acero De Refuerzo A-60,3982.670032,Position
94,87,P133121-0014,KG,764324.62,Malla Electrosoldada Especial,5185.499974,Position
95,87,S017300-0229,KG,1213213.68,M.O. Manejo De Acero De Refuerzo,111.2799997,Position
96,87,S017300-0248,M3,9328.46,M.O. Muros En Concreto,414440,Position
97,87,S017300-0274,M2,77737.17,M.O. Picada Muros,1677.249927,Position
98,81,B-10-10-10-0330-024,,0,DINTELES,0,Level 6
99,98,P131511-0055,M3,110.63,Concreto 3000 Psi Industrializado Grava Fina Placa Lp,428597.5297,Position
100,98,P131511-0122,M3,41.51,Concreto 4000 Psi Industrializado Grava Fina Placa Lp,505633.153,Position
101,98,P131511-0159,M3,13.8,Concreto 5000 Psi Industrializado Grava Fina Placa Lp,518606.0029,Position
102,98,P131511-0168,M3,45.94,Concreto 6000 Psi Grava Fina Industrializado,543469.4023,Position
103,98,P133121-0002,KG,33346.13,Acero De Refuerzo A-60,3982.67034,Position
104,98,S017300-0119,M3,7047.97,M.O. Dintel En Concreto,16694.88,Position
105,98,S017300-0229,KG,31758.22,M.O. Manejo De Acero De Refuerzo,111.2800062,Position
106,98,Z413100-0004,M3,207.83,Sub. Bomba Estacionaria,45903.61738,Position
107,81,B-10-10-10-0330-025,,0,BORDILLOS,0,Level 6
108,107,P131511-0055,M3,43.99,Concreto 3000 Psi Industrializado Grava Fina Placa Lp,428648.9025,Position
109,107,P131511-0122,M3,29.25,Concreto 4000 Psi Industrializado Grava Fina Placa Lp,505620.6475,Position
110,107,P131511-0159,M3,10.8,Concreto 5000 Psi Industrializado Grava Fina Placa Lp,518938.2231,Position
111,107,P131511-0168,M3,31.73,Concreto 6000 Psi Grava Fina Industrializado,543511.3089,Position
112,107,P133121-0002,KG,17111.73,Acero De Refuerzo A-60,3982.669007,Position
113,107,S017300-0056,ML,3612.14,M.O. Bordillo En Concreto,27148.49,Position
114,107,S017300-0229,KG,16296.88,M.O. Manejo De Acero De Refuerzo,111.2800113,Position
115,107,Z413100-0004,M3,41.9,Sub. Bomba Estacionaria,45902.33819,Position
116,81,B-10-10-10-0330-031,,0,VIGA CINTA,0,Level 6
117,116,P131511-0020,M3,3.91,Concreto 3000 Psi Grava Comun Bombeable,398818.555,Position
118,116,P133121-0002,KG,199.16,Acero De Refuerzo A-60,3982.729213,Position
119,116,S017300-0229,KG,189.68,M.O. Manejo De Acero De Refuerzo,111.279418,Position
120,116,S017300-0356,M3,124.09,M.O. Viga Cinta,15761.33,Position
121,81,B-10-10-10-0330-060,,0,MUROS NO ESTRUCTURALES EN CONCRETO,0,Level 6
122,121,P131511-0054,M3,295.28,Concreto 3000 Psi Industrializado Grava Fina Muro Lp,437896.413,Position
123,121,P133121-0014,KG,17672.57,Malla Electrosoldada Especial,5185.499369,Position
124,121,S017300-0229,KG,16831.02,M.O. Manejo De Acero De Refuerzo,111.2799801,Position
125,121,S017300-0248,M3,281.22,M.O. Muros En Concreto,414440,Position
126,121,S017300-0274,M2,2343.5,M.O. Picada Muros,1677.249998,Position
127,80,B-10-10-20-0000-000,,0,PLACAS Y VIGAS ENTREPISO,0,Level 5
128,127,B-10-10-20-0330-014,,0,PLACA MACIZA ENTREPISO,0,Level 6
129,128,P131511-0055,M3,2053.31,Concreto 3000 Psi Industrializado Grava Fina Placa Lp,428604.3985,Position
130,128,P131511-0122,M3,1088.12,Concreto 4000 Psi Industrializado Grava Fina Placa Lp,505672.8901,Position
131,128,P131511-0159,M3,363.09,Concreto 5000 Psi Industrializado Grava Fina Placa Lp,518717.3935,Position
132,128,P131511-0168,M3,772.23,Concreto 6000 Psi Grava Fina Industrializado,543501.3897,Position
133,128,P133121-0002,KG,177389.26,Acero De Refuerzo A-60,3982.670085,Position
134,128,P133121-0027,KG,266083.9,Malla Electrosoldada Estandar,4762.799923,Position
135,128,S017300-0229,KG,422355.39,M.O. Manejo De Acero De Refuerzo,111.28,Position
136,128,S017300-0293,M2,38570.01,M.O. Placa Maciza De Entrepiso H= 0.10,55536,Position
137,127,B-10-10-20-0353-001,,0,SOBREPISO,0,Level 6
138,137,P131511-0014,M3,61.42,Concreto 3000 PSI Grava Comun,394593.88,Position
139,137,P132119-0115,UN,23843.24,Ladrillo Prensado Liviano Gris Ref.LPRL6GRH,1253.97021,Position
140,137,P133121-0027,KG,1228.4,Malla Electrosoldada Estandar,4762.8,Position
141,137,S017300-0343,M2,1228.4,M.O. Sobrepiso,38480,Position
142,137,Z413100-0026,M3,1228.4,Sub. Servicio De Bombeo De Concreto (Obra),43696.2,Position
143,80,B-10-10-90-0000-000,,0,COMPONENTES SUPLEMENTARIOS DE LA CONSTRUCCION DE ENTREPISOS,0,Level 5
144,143,B-10-10-90-0517-001,,0,ANCLAJES DE ESTRUCTURA,0,Level 6
145,144,P132319-0123,UN,21.95,Sikadur 42 Anclaje 15Kg,477348.3221,Position
146,144,S017300-0024,UN,21950.19,M.O. Anclajes,12303.37,Position
147,79,B-10-20-00-0000-000,,0,SISTEMA ESTRUCTURAL DE CUBIERTA,0,Level 4
148,147,B-10-20-10-0000-000,,0,SISTEMA ESTRUCTURAL DE CUBIERTA,0,Level 5
149,148,B-10-20-10-0330-029,,0,VIGA CANAL,0,Level 6
150,149,P131511-0055,M3,1.86,Concreto 3000 Psi Industrializado Grava Fina Placa Lp,428259.4785,Position
151,149,P133121-0002,KG,241.71,Acero De Refuerzo A-60,3982.626826,Position
152,149,S017300-0354,ML,1.77,M.O. Viga Canal En Concreto,268871.1977,Position
153,79,B-10-80-00-0000-000,,0,ESCALERAS,0,Level 4
154,153,B-10-80-10-0000-000,,0,CONSTRUCCION ESTRUCTURA DE ESCALERAS,0,Level 5
155,154,B-10-80-10-0330-019,,0,ESCALERAS EN CONCRETO,0,Level 6
156,155,P131511-0055,M3,197.36,Concreto 3000 Psi Industrializado Grava Fina Placa Lp,428600.7866,Position
157,155,P133121-0002,KG,14263.02,Acero De Refuerzo A-60,3982.669096,Position
158,155,S017300-0141,M3,187.96,M.O. Escaleras En Concreto,496691.87,Position
159,155,S017300-0229,KG,13583.83,M.O. Manejo De Acero De Refuerzo,111.279963,Position
160,153,B-10-80-30-0000-000,,0,ACABADO BAJO ESCALERA - OBRA GRIS,0,Level 5
161,160,B-10-80-30-0924-022,,0,PAÑETE BAJO ESCALERA,0,Level 6
162,161,P131311-0007,BT,185.59,Cemento Gris X 50Kg,16307.60919,Position
163,161,P131513-0028,M3,26.51,Mortero Pañete (Mezcla Obra),91980.34176,Position
164,161,S017300-0262,M2,1287.02,M.O. Pañete Techos M2,15098.56,Position
165,153,B-10-80-80-0000-000,,0,ESCALERAS VERTICALES,0,Level 5
166,165,B-10-80-80-0551-001,,0,ESCALERA DE GATO,0,Level 6
167,166,P172315-0001,UN,9,Escalera De Gato,470100.18,Position
168,165,B-10-80-80-0997-008,,0,PINTURA ESCALERA DE GATO,0,Level 6
169,168,Z415600-0047,ML,13.2,Sub. Pintura Escalera De Gato,8734.130303,Position
170,78,B-20-00-00-0000-000,,0,CERRAMIENTO VERTICAL EXTERIOR - FACHADAS,0,Level 3
171,170,B-20-10-00-0000-000,,0,MUROS EXTERIORES,0,Level 4
172,171,B-20-10-10-0000-000,,0,ENCHAPES MURO EXTERIOR,0,Level 5
173,172,B-20-10-10-0924-001,,0,PAÑETE DE FACHADA 2CM,0,Level 6
174,173,P131311-0007,BT,1914.02,Cemento Gris X 50Kg,16307.75961,Position
175,173,P131513-0028,M3,273.43,Mortero Pañete (Mezcla Obra),91971.75829,Position
176,173,P132517-0028,UN,12.67,Sika 1 X 220Kg,1491063.239,Position
177,173,P152111-0028,UN,20.23,Pintuco Latex PulgAntes Graniacrilica Pulg 564 X 200Kg,3215059.938,Position
178,173,S017300-0257,M2,13273.37,M.O. Pañete Fachada M2,13583.88,Position
179,173,S017300-0274,M2,13273.37,M.O. Picada Muros,1677.25,Position
180,172,B-20-10-10-0924-002,,0,PAÑETE DE FACHADA 2CM (ML),0,Level 6
181,180,P131311-0007,BT,168.94,Cemento Gris X 50Kg,16308.07642,Position
182,180,P131513-0028,M3,24.13,Mortero Pañete (Mezcla Obra),91989.39992,Position
183,180,P132517-0028,UN,1.15,Sika 1 X 220Kg,1493499.626,Position
184,180,P152111-0028,UN,1.79,Pintuco Latex PulgAntes Graniacrilica Pulg 564 X 200Kg,3207216.531,Position
185,180,S017300-0258,ML,1952.65,M.O. Pañete Fachada Ml,11819.16,Position
186,180,S017300-0274,M2,1952.65,M.O. Picada Muros,1677.249999,Position
187,172,B-20-10-10-0924-003,,0,FILOS Y DILATACIONES FACHADA,0,Level 6
188,187,S017300-0164,ML,33057.73,M.O. Filos Y Dilataciones Fachada Pañete,4106.209553,Position
189,172,B-20-10-10-0924-015,,0,PAÑETE CINTA VENTANA,0,Level 6
190,189,P131311-0007,BT,302.59,Cemento Gris X 50Kg,16307.66291,Position
191,189,P131513-0028,M3,43.23,Mortero Pañete (Mezcla Obra),91964.65394,Position
192,189,S017300-0082,ML,8393.57,M.O. Cintas Ventanas,4976.48,Position
193,172,B-20-10-10-0924-016,,0,GOTEROS,0,Level 6
194,193,P131311-0007,BT,94.9,Cemento Gris X 50Kg,16307.37018,Position
195,193,P131513-0028,M3,13.56,Mortero Pañete (Mezcla Obra),91949.70354,Position
196,193,S017300-0174,ML,4387.32,M.O. Goteros,8821.03,Position
197,172,B-20-10-10-0924-023,,0,RESANE FACHADA,0,Level 6
198,197,P131311-0007,BT,509.92,Cemento Gris X 50Kg,16307.82395,Position
199,197,P131513-0028,M3,72.85,Mortero Pañete (Mezcla Obra),91966.23006,Position
200,197,S017300-0338,M2,4856.4,M.O. Resanes Muros En Concreto,8180.040001,Position
201,172,B-20-10-10-0991-001,,0,PINTURA DE FACHADA,0,Level 6
202,201,Z415600-0050,M2,3120.59,Sub. Pintura Fachada Sobre Pañete o Concreto M2,11982.61,Position
203,172,B-20-10-10-0991-024,,0,PINTURA FILOS Y DILATACIONES,0,Level 6
204,203,Z415600-0052,ML,67391.86,Sub. Pintura Filos Y Dilaciones Internas Ml,1573.74,Position
205,172,B-20-10-10-0991-033,,0,PINTURA SUPERBOARD,0,Level 6
206,205,Z415600-0071,M2,1035.16,Sub. Pintura Terminacion Superboard M2,15976.21,Position
207,172,B-20-10-10-0991-034,,0,PINTURA SUPERBOARD ML,0,Level 6
208,207,Z415600-0072,ML,2313.2,Sub. Pintura Terminacion Superboard Ml,11411.58,Position
209,172,B-20-10-10-0994-001,,0,GRANIPLAST,0,Level 6
210,209,Z415600-0013,M2,30446.06,Sub. Graniplast M2,16461.5,Position
211,172,B-20-10-10-0994-002,,0,GRANIPLAST (ML),0,Level 6
212,211,Z415600-0014,ML,6294.43,Sub. Graniplast Ml,10271.98,Position
213,171,B-20-10-20-0000-000,,0,CONSTRUCCION DE MURO EXTERIOR,0,Level 5
214,213,B-20-10-20-0330-032,,0,VIGA CANCHADA,0,Level 6
215,214,P131511-0020,M3,64.59,Concreto 3000 Psi Grava Comun Bombeable,398945.9435,Position
216,214,P133121-0002,KG,3229.57,Acero De Refuerzo A-60,3982.668767,Position
217,214,S017300-0229,KG,3075.78,M.O. Manejo De Acero De Refuerzo,111.2800005,Position
218,214,S017300-0360,ML,3075.78,M.O. Viga Remate,12480,Position
219,213,B-20-10-20-0421-001,,0,MAMPOSTERIA DE FACHADA EN LADRILLO,0,Level 6
220,219,P131311-0007,BT,261.28,Cemento Gris X 50Kg,16308.02522,Position
221,219,P131513-0029,M3,37.33,Mortero Pega (Mezcla Obra),91962.176,Position
222,219,P132119-0056,UN,278549.19,Ladrillo Prensado Liviano Cocoa Ref: Lprl6Co,1052.000007,Position
223,219,P132119-0095,UN,61631.4,Ladrillo Prensado Liviano Capuchino Ref: LPRL6CPV2H,849.9999505,Position
224,219,P133121-0010,KG,6420.34,"Grafil Recto 3,00 - 9,00mm",4750.896724,Position
225,219,S017300-0225,M2,5783.07,M.O. Mamposteria Ladrillo Portante Fachada M2,27121.85,Position
226,219,S017300-0229,KG,6356.77,M.O. Manejo De Acero De Refuerzo,111.2799629,Position
227,213,B-20-10-20-0421-002,,0,MAMPOSTERIA DE FACHADA EN LADRILLO (ML),0,Level 6
228,227,P131311-0007,BT,23.15,Cemento Gris X 50Kg,16305.57883,Position
229,227,P131513-0029,M3,3.31,Mortero Pega (Mezcla Obra),91879.63444,Position
230,227,P132119-0056,UN,23662.61,Ladrillo Prensado Liviano Cocoa Ref: Lprl6Co,1051.999978,Position
231,227,P132119-0095,UN,5337.22,Ladrillo Prensado Liviano Capuchino Ref: LPRL6CPV2H,849.999436,Position
232,227,P133121-0010,KG,555.99,"Grafil Recto 3,00 - 9,00mm",4750.93892,Position
233,227,S017300-0224,ML,834.68,M.O. Mamposteria Ladrillo Portante Fachada Ml,12320.43,Position
234,227,S017300-0229,KG,550.49,M.O. Manejo De Acero De Refuerzo,111.2799324,Position
235,213,B-20-10-20-0421-005,,0,HILADA PARADA,0,Level 6
236,235,P131311-0007,BT,26.65,Cemento Gris X 50Kg,16306.63415,Position
237,235,P131513-0029,M3,3.81,Mortero Pega (Mezcla Obra),91895.96588,Position
238,235,P132119-0056,UN,5704.11,Ladrillo Prensado Liviano Cocoa Ref: Lprl6Co,1052.000133,Position
239,235,P132119-0095,UN,5704.11,Ladrillo Prensado Liviano Capuchino Ref: LPRL6CPV2H,850.0001069,Position
240,235,S017300-0183,ML,369.6,M.O. Hilada Parada,18614.21999,Position
241,213,B-20-10-20-0421-016,,0,ENCHAPE DE FACHADA EN LADRILLO (ML),0,Level 6
242,241,P131311-0007,BT,155.7,Cemento Gris X 50Kg,16307.8201,Position
243,241,P131513-0029,M3,22.24,Mortero Pega (Mezcla Obra),91983.36151,Position
244,241,P132119-0056,UN,85976.97,Ladrillo Prensado Liviano Cocoa Ref: Lprl6Co,1051.999977,Position
245,241,P132119-0095,UN,19023.14,Ladrillo Prensado Liviano Capuchino Ref: LPRL6CPV2H,850.0000541,Position
246,241,S017300-0133,ML,4114.29,M.O. Enchape En Ladrillo Ml,20437.41,Position
247,213,B-20-10-20-0710-009,,0,IMPERMEABILIZACION DE FACHADA,0,Level 6
248,247,S017313-0018,M2,6912.17,M.O. Impermeabilizacion Ladrillo Fachada,8048.51,Position
249,247,Z410611-0059,M2,13824.34,Lavado Muro,2277.14,Position
250,171,B-20-10-90-0000-000,,0,COMPLEMENTOS SUPLEMENTARIOS DE VANOS EN MUROS EXTERIORES,0,Level 5
251,250,B-20-10-90-0330-035,,0,ALFAJIA EN CONCRETO,0,Level 6
252,251,P131511-0020,M3,73.06,Concreto 3000 Psi Grava Comun Bombeable,398962.7148,Position
253,251,P133121-0002,KG,2043.14,Acero De Refuerzo A-60,3982.663533,Position
254,251,S017300-0013,ML,1305.06,M.O. Alfajia En Concreto,22382.35,Position
255,250,B-20-10-90-0405-004,,0,PASE DESFOGUE CALENTADOR,0,Level 6
256,255,Z416300-0160,UN,352,Sub. P. Calentador,29002.81,Position
257,170,B-20-20-00-0000-000,,0,VENTANERÍA EXTERIOR,0,Level 4
258,257,B-20-20-10-0000-000,,0,VENTANAS EXTERIORES OPERABLES,0,Level 5
259,258,B-20-20-10-0843-001,,0,PUERTA VENTANAS,0,Level 6
260,259,S017316-0129,M2,3415.9,M.O. Instalacion Ventaneria En Aluminio,18939.03,Position
261,259,Z414600-0016,M2,3415.9,Sub. Puerta Ventanas En Aluminio,329893,Position
262,258,B-20-20-10-0851-001,,0,VENTANERIA,0,Level 6
263,262,S017316-0129,M2,3030.93,M.O. Instalacion Ventaneria En Aluminio,18939.03,Position
264,262,Z414600-0017,UN,3030.93,Sub. Ventaneria En Aluminio 1,276618,Position
265,170,B-20-50-00-0000-000,,0,PUERTAS Y REJILLAS EXTERIORES,0,Level 4
266,265,B-20-50-60-0000-000,,0,REJILLAS EXTERIORES DE ACCESO,0,Level 5
267,266,B-20-50-60-0895-004,,0,REJILLA DE VENTILACION,0,Level 6
268,267,P131915-0048,UN,748,Rejilla Ventilacion P/Gas Natural 22 X 22 Cms,24530.96,Position
269,170,B-20-70-00-0000-000,,0,PERSIANAS Y RESPIRADEROS EXTERIORES,0,Level 4
270,269,B-20-70-10-0000-000,,0,PERSIANAS EXTERIORES - MOVILES,0,Level 5
271,270,B-20-70-10-0553-005,,0,REJILLA FACHADA EN ALUMINIO,0,Level 6
272,271,Z412400-0032,M2,228.72,Rejilla Ventilacion De Muro,341258.91,Position
273,170,B-20-80-00-0000-000,,0,ACCESORIOS DE MUROS EXTERIORES,0,Level 4
274,273,B-20-80-50-0000-000,,0,MUROS Y BARANDAS DE BALCON EXTERIOR,0,Level 5
275,274,B-20-80-50-0552-001,,0,BARANDAS BALCON,0,Level 6
276,275,Z412400-0282,UN,1601.6,Sub. Baranda Metalica,348000,Position
277,274,B-20-80-50-0997-001,,0,PINTURA DE BARANDAS BALCONES,0,Level 6
278,277,Z415600-0017,ML,1601.6,Sub. Pintura Baranda,9298.7,Position
279,78,B-30-00-00-0000-000,,0,CERRAMIENTO HORIZONTAL EXTERIOR - CUBIERTAS,0,Level 3
280,279,B-30-10-00-0000-000,,0,CUBIERTAS,0,Level 4
281,280,B-30-10-10-0000-000,,0,CUBIERTAS/TECHOS,0,Level 5
282,281,B-30-10-10-0741-004,,0,CUBIERTA EN TEJA CANALETA 90,0,Level 6
283,282,Z414300-0019,M2,1301.72,Sub. Estructura Metalica Cubierta,75695.22,Position
284,282,Z414300-0028,M2,1301.72,Sub. Teja termoacustica,212449.23,Position
285,281,B-30-10-10-1073-002,,0,MARQUESINA,0,Level 6
286,285,Z414300-0022,M2,150.16,Sub. Marquesina En Vidrio,813087,Position
287,280,B-30-10-50-0000-000,,0,CUBIERTAS/TECHOS PLANOS,0,Level 5
288,287,B-30-10-50-0932-006,,0,AFINADO PENDIENTADO CUBIERTA,0,Level 6
289,288,P131311-0007,BT,125.18,Cemento Gris X 50Kg,16307.29294,Position
290,288,P131513-0030,M3,17.88,Mortero Pisos (Mezcla Obra),104969.2254,Position
291,288,P132517-0028,UN,0.89,Sika 1 X 220Kg,1497949.809,Position
292,288,S017300-0010,M2,347.23,M.O. Afinado De Pisos M2 Mortero,9565.820004,Position
293,280,B-30-10-90-0000-000,,0,COMPONENTES SUPLEMENTARIOS DE CUBIERTAS / TECHOS,0,Level 5
294,293,B-30-10-90-0950-002,,0,MEDIA CAÑA EN MORTERO CUBIERTA,0,Level 6
295,294,P131311-0007,BT,30.23,Cemento Gris X 50Kg,16306.25174,Position
296,294,P131513-0030,M3,4.4,Mortero Pisos (Mezcla Obra),105003.6432,Position
297,294,S017300-0238,ML,524.05,M.O. Mediacaña En Mortero,6127.259994,Position
298,279,B-30-40-00-0000-000,,0,CERRAMIENTOS HORIZONTALES DE RODAMIENTO Y TRÁFICO,0,Level 4
299,298,B-30-40-30-0000-000,,0,MEMBRANA DE IMPERMEABILIZACION HORIZONTAL,0,Level 5
